189	255	66
336	2799	2463
2800	3733	933
3733	5020	1287
5233	5530	297
8237	9191	954
9305	9893	588
10829	11315	486
12162	14079	1917
14167	15298	1131
15444	16557	1113
17488	18655	1167
18714	19620	906
21180	21399	219
21406	22348	942
22390	25207	2817
25206	25701	495
25825	26275	450
26276	27227	951
27292	28207	915
28373	29195	822
29650	30799	1149
30816	34038	3222
34299	34695	396
42402	43173	771
43187	44129	942
44179	45466	1287
45462	45750	288
45806	47138	1332
47245	47776	531
47768	49631	1863
49822	50302	480
57363	58179	816
58473	59269	796
62378	63136	758
63737	64196	459
64197	65139	942
65135	65501	366
65516	67283	1767
67269	68757	1488
68753	70112	1359
70105	71188	1083
71190	72507	1317
72506	73751	1245
73747	74815	1068
74868	76344	1476
76336	77257	921
77258	78089	831
78085	79348	1263
79408	80560	1152
80660	81578	918
81808	82321	513
82382	85088	2706
85147	85537	390
87547	88591	1044
92836	93388	552
93384	94239	855
96195	96960	765
97120	99784	2664
99798	101691	1893
102015	103440	1425
105718	108316	2598
108491	108854	363
111186	112737	1551
115534	116071	537
116882	117809	927
117805	118576	771
118680	119121	441
119184	120414	1230
121071	121974	903
136208	138638	2430
138833	141368	2535
141587	143831	2244
143881	144679	798
144678	145569	891
145565	147548	1983
149210	150632	1422
150713	151058	345
153340	154858	1518
154987	156412	1425
156566	157724	1158
163977	164703	726
164960	165812	852
165958	166684	726
166975	167533	558
167624	168821	1197
169006	169768	762
169780	170638	858
170649	172002	1353
172031	174464	2433
174585	175071	486
175074	176100	1026
176204	176660	456
176663	177452	789
177451	178600	1149
178596	179193	597
179229	182712	3483
182724	183684	960
183782	185924	2142
185980	186370	390
186434	187733	1299
188394	188940	546
188936	189359	423
189372	190083	711
196936	197512	576
203270	204074	804
205225	206026	801
206029	206653	624
208919	209642	723
210170	210902	732
211438	212224	786
213293	213482	189
214446	214920	474
217646	218225	579
218430	219198	768
220815	221565	750
221740	222238	498
224175	224931	756
225001	226057	1056
226108	226402	294
226404	226803	399
226812	227265	453
227582	227789	207
227805	228306	501
230080	230539	459
230630	231875	1245
231932	232334	402
233715	234819	1104
234830	236084	1254
243569	243974	405
243930	245082	1152
245157	245583	426
246174	247282	1108
248652	250056	1404
250042	250975	933
255584	256514	930
256528	258496	1968
258722	260105	1383
260116	261727	1611
266273	267005	732
277764	278379	615
286885	287113	228
289130	290018	888
290055	290364	309
290360	291227	867
295000	295855	855
296381	297101	720
297111	298539	1428
298531	299227	696
304236	306270	2034
307144	308233	1089
310053	310659	606
310698	311562	864
311551	313099	1548
314013	315225	1212
315326	315866	540
319860	320271	411
320228	321134	906
323786	324749	963
324761	325529	768
325525	326353	828
